[00:00.000 --> 00:10.000]  So
[1:52:29.080 --> 1:52:31.080]  Are you going to stick a needle in my arm
[1:52:31.080 --> 1:52:32.080]  when I have no criminal record?
[1:52:32.080 --> 1:52:34.080]  The only questions I'm going to answer right now
[1:52:34.080 --> 1:52:37.080]  are concerning driver's license issuance.
[1:52:37.080 --> 1:52:39.080]  You just follow orders, don't you?
[1:52:39.080 --> 1:52:40.080]  So you're saying you're going to deny me
[1:52:40.080 --> 1:52:43.080]  the constitutional right to travel
[1:52:43.080 --> 1:52:48.080]  if I do not submit to this digital thumb scanning?
[1:52:48.080 --> 1:52:50.080]  What I will tell you, today you will not receive
[1:52:50.080 --> 1:52:52.080]  a duplicate driver's license
[1:52:52.080 --> 1:52:53.080]  if you do not submit to a thumb scanning.
[1:52:53.080 --> 1:52:54.080]  Okay.
[1:52:54.080 --> 1:52:56.080]  Look, I feel like I'm being raped here.
[1:52:56.080 --> 1:52:57.080]  Well, I would sit down here for hours
[1:52:57.080 --> 1:52:59.080]  and try to do what I could to help you.
[1:52:59.080 --> 1:53:00.080]  Then just give me my license
[1:53:00.080 --> 1:53:02.080]  without digitally thumb scanning.
[1:53:02.080 --> 1:53:04.080]  I am not going to violate because...
[1:53:04.080 --> 1:53:05.080]  Is there a religious exception?
[1:53:05.080 --> 1:53:06.080]  For your exception.
[1:53:06.080 --> 1:53:08.080]  Is there a religious exception?
[1:53:08.080 --> 1:53:09.080]  No.
[1:53:09.080 --> 1:53:10.080]  No, sir.
[1:53:10.080 --> 1:53:12.080]  Everyone must take the mark.
[1:53:12.080 --> 1:53:14.080]  A digitally enhanced mark.
[1:53:14.080 --> 1:53:16.080]  I'm not talking about marks.
[1:53:16.080 --> 1:53:17.080]  A digital tattoo.
[1:53:17.080 --> 1:53:18.080]  I know.
[1:53:18.080 --> 1:53:20.080]  Your ID, you are good to go.
[1:53:20.080 --> 1:53:21.080]  Yeah.
[1:53:21.080 --> 1:53:22.080]  Well, if I'm good to go,
[1:53:22.080 --> 1:53:24.080]  why do you need my thumb print?
[1:53:24.080 --> 1:53:26.080]  It's part of Bill Clinton's law, isn't it?
[1:53:26.080 --> 1:53:28.080]  It's an executive order.
[1:53:28.080 --> 1:53:31.080]  It's a decree by Bill Clinton.
[1:53:31.080 --> 1:53:32.080]  NCIC.
[1:53:32.080 --> 1:53:33.080]  NCIC.
[1:53:33.080 --> 1:53:34.080]  Drive without a license.
[1:53:34.080 --> 1:53:35.080]  Yeah.
[1:53:35.080 --> 1:53:36.080]  And if I drive without a license,
[1:53:36.080 --> 1:53:38.080]  what's the penalties for driving without a license?
[1:53:38.080 --> 1:53:39.080]  You know, I don't even want to go there.
[1:53:39.080 --> 1:53:40.080]  That's right.
[1:53:40.080 --> 1:53:41.080]  You know why?
[1:53:41.080 --> 1:53:42.080]  You're an officer.
[1:53:42.080 --> 1:53:43.080]  I'm asking you the law.
[1:53:43.080 --> 1:53:45.080]  I would be glad to say that.
[1:53:45.080 --> 1:53:46.080]  So you're saying I'll be committing a crime
[1:53:46.080 --> 1:53:49.080]  by driving if I don't take your mark?
[1:53:49.080 --> 1:53:52.080]  I would be glad to do anything I can to help you, sir.
[1:53:52.080 --> 1:53:53.080]  Well, see, you're saying...
[1:53:53.080 --> 1:53:54.080]  I'm not against you.
[1:53:54.080 --> 1:53:55.080]  I understand.
[1:53:55.080 --> 1:53:56.080]  Officer Ard,
[1:53:56.080 --> 1:53:57.080]  you're sitting here, Sergeant,
[1:53:57.080 --> 1:53:59.080]  and telling me that you're all friendly
[1:53:59.080 --> 1:54:00.080]  and you're all nice.
[1:54:00.080 --> 1:54:02.080]  But I'll be pulled over and given tickets.
[1:54:02.080 --> 1:54:03.080]  If I don't pay those,
[1:54:03.080 --> 1:54:06.080]  I will go to jail because of my morals
[1:54:06.080 --> 1:54:07.080]  and my beliefs.
[1:54:07.080 --> 1:54:09.080]  I will not take this.
[1:54:09.080 --> 1:54:11.080]  And I'm here to tell you, I already took this in 1993,
[1:54:11.080 --> 1:54:12.080]  and many people will say,
[1:54:12.080 --> 1:54:13.080]  well, you've already taken it.
[1:54:13.080 --> 1:54:14.080]  What's your problem with it?
[1:54:14.080 --> 1:54:16.080]  Because now I figured out what this is,
[1:54:16.080 --> 1:54:17.080]  and I'm opposing all those others
[1:54:17.080 --> 1:54:19.080]  that are being heard in here like cattle
[1:54:19.080 --> 1:54:21.080]  to be thumb scanned like criminals.
[1:54:21.080 --> 1:54:22.080]  Yes.
[1:54:22.080 --> 1:54:24.080]  We don't even need to start there.
[1:54:24.080 --> 1:54:26.080]  If I know that you're not going to submit to a thumb print,
[1:54:26.080 --> 1:54:27.080]  why waste your time?
[1:54:27.080 --> 1:54:28.080]  See, right up front,
[1:54:28.080 --> 1:54:29.080]  they will drop...
[1:54:29.080 --> 1:54:31.080]  and people are being turned away all day here.
[1:54:31.080 --> 1:54:33.080]  So you're saying I pay my taxes.
[1:54:33.080 --> 1:54:35.080]  I'm raped by the IRS, which is criminal.
[1:54:35.080 --> 1:54:37.080]  You know, it's well known.
[1:54:37.080 --> 1:54:39.080]  Submit.
[1:54:39.080 --> 1:54:41.080]  He just said I must submit.
[1:54:41.080 --> 1:54:43.080]  I'm telling you, I've never been to jail.
[1:54:43.080 --> 1:54:44.080]  I don't know.
[1:54:44.080 --> 1:54:45.080]  What do you want me to do for you?
[1:54:45.080 --> 1:54:47.080]  I want you to give me my driver's license.
[1:54:47.080 --> 1:54:49.080]  I want my driver's license.
[1:54:49.080 --> 1:54:50.080]  I am not a criminal.
[1:54:50.080 --> 1:54:52.080]  I may become one today, but that's fine.
[1:54:52.080 --> 1:54:54.080]  You're saying you won't take me to jail
[1:54:54.080 --> 1:54:55.080]  if I'm still here?
[1:54:55.080 --> 1:54:57.080]  No, we're not going to take you to jail.
[1:54:57.080 --> 1:54:58.080]  Oh, yeah.
[1:54:58.080 --> 1:55:01.080]  This is against the grain of the Constitution.
[1:55:01.080 --> 1:55:03.080]  Look, if I don't take the mark,
[1:55:03.080 --> 1:55:05.080]  my right to travel is taken.
[1:55:05.080 --> 1:55:07.080]  You're taking my rights and telling me
[1:55:07.080 --> 1:55:08.080]  that it's no big deal,
[1:55:08.080 --> 1:55:10.080]  and now you want a urine and blood test.
[1:55:10.080 --> 1:55:12.080]  Bring me the document.
[1:55:12.080 --> 1:55:14.080]  Who has the urine and blood testing document?
[1:55:14.080 --> 1:55:15.080]  I need it.
[1:55:15.080 --> 1:55:17.080]  I'm going to pass these out to people.
[1:55:17.080 --> 1:55:20.080]  Ladies and gentlemen, the federal register,
[1:55:20.080 --> 1:55:21.080]  Bill Clinton,
[1:55:21.080 --> 1:55:23.080]  urine and blood testing plan for you.
[1:55:23.080 --> 1:55:25.080]  Tell your friends about it.
[1:55:25.080 --> 1:55:27.080]  We have got to stand against this.
[1:55:27.080 --> 1:55:29.080]  The states are preparing to implement this plan.
[1:55:29.080 --> 1:55:30.080]  This is not a joke.
[1:55:30.080 --> 1:55:32.080]  This is not the entire document.
[1:55:32.080 --> 1:55:33.080]  It gets worse.
[1:55:33.080 --> 1:55:35.080]  Ladies and gentlemen,
[1:55:35.080 --> 1:55:36.080]  ladies and gentlemen,
[1:55:36.080 --> 1:55:39.080]  it's a joke to them.
[1:55:39.080 --> 1:55:41.080]  Only Coach Pinders matters.
[1:55:41.080 --> 1:55:45.080]  Only diversions like Rome, the gladiators.
[1:55:45.080 --> 1:55:47.080]  If I don't take this,
[1:55:47.080 --> 1:55:48.080]  if I don't take this,
[1:55:48.080 --> 1:55:50.080]  will I not be penalized
[1:55:50.080 --> 1:55:51.080]  for not having a driver's license
[1:55:51.080 --> 1:55:53.080]  by not being able to cash a check,
[1:55:53.080 --> 1:55:54.080]  by being given tickets
[1:55:54.080 --> 1:55:55.080]  that if I don't pay those tickets,
[1:55:55.080 --> 1:55:56.080]  I'll be taken to jail.
[1:55:56.080 --> 1:55:57.080]  I can't travel out of state.
[1:55:57.080 --> 1:55:59.080]  I can't get on board an airplane.
[1:55:59.080 --> 1:56:01.080]  And the media is talking about thumb-scanning to travel.
[1:56:01.080 --> 1:56:03.080]  You're working with the foreign banks
[1:56:03.080 --> 1:56:04.080]  and the military industrial complex.
[1:56:04.080 --> 1:56:05.080]  This is all their idea.
[1:56:05.080 --> 1:56:08.080]  Read the Military War College from 1968.
[1:56:08.080 --> 1:56:09.080]  They planned this.
[1:56:09.080 --> 1:56:11.080]  Just because you lay around
[1:56:11.080 --> 1:56:12.080]  doesn't mean it's not true.
[1:56:12.080 --> 1:56:14.080]  This is not a publicity stunt.
[1:56:14.080 --> 1:56:16.080]  I was a lot happier years ago
[1:56:16.080 --> 1:56:17.080]  before I got into all this garbage.
[1:56:17.080 --> 1:56:19.080]  I'm sick of sheep laying down.
[1:56:19.080 --> 1:56:21.080]  I wish you'd get up and do something.
[1:56:21.080 --> 1:56:23.080]  Makes me want to vomit.
[1:56:23.080 --> 1:56:25.080]  Our forefathers went to World War II
[1:56:25.080 --> 1:56:26.080]  and World War I
[1:56:26.080 --> 1:56:28.080]  and fought the Civil War to end slavery.
[1:56:28.080 --> 1:56:30.080]  And it means nothing to y'all.
[1:56:30.080 --> 1:56:33.080]  We're a bunch of yellow-bellied weaklings.
[1:56:33.080 --> 1:56:34.080]  I'm sick of it.
[1:56:34.080 --> 1:56:36.080]  I'm sick of people laying down
[1:56:36.080 --> 1:56:38.080]  like a bunch of jellyfish
[1:56:38.080 --> 1:56:40.080]  and rationalizing what's going on.
[1:56:40.080 --> 1:56:42.080]  People ought to be ashamed of themselves.
[1:56:42.080 --> 1:56:43.080]  My brother's a cop.
[1:56:43.080 --> 1:56:45.080]  He's a gold-starred arm and a client.
[1:56:45.080 --> 1:56:47.080]  Yes, exactly.
[1:56:47.080 --> 1:56:50.080]  Now, look very carefully at Mike Cox.
[1:56:50.080 --> 1:56:52.080]  He is head public information officer
[1:56:52.080 --> 1:56:54.080]  for all of Texas for the DPS.
[1:56:54.080 --> 1:56:56.080]  They weren't going to arrest me.
[1:56:56.080 --> 1:56:58.080]  But about 15 minutes into the protest,
[1:56:58.080 --> 1:57:01.080]  he showed up and things changed dramatically.
[1:57:01.080 --> 1:57:03.080]  He walked up, stared at me,
[1:57:03.080 --> 1:57:05.080]  turned, walked back to the back.
[1:57:05.080 --> 1:57:06.080]  They had a little meeting together
[1:57:06.080 --> 1:57:08.080]  and then they came and arrested me.
[1:57:08.080 --> 1:57:09.080]  Yeah, right.
[1:57:09.080 --> 1:57:10.080]  If you don't leave now,
[1:57:10.080 --> 1:57:11.080]  I will be forced to arrest you.
[1:57:11.080 --> 1:57:12.080]  Sir, I'm here to get a driver's license.
[1:57:12.080 --> 1:57:14.080]  I have never had a criminal record.
[1:57:14.080 --> 1:57:15.080]  It's time to go. Here I go.
[1:57:15.080 --> 1:57:16.080]  Get my stuff for me.
[1:57:16.080 --> 1:57:18.080]  45 patients.
[1:57:18.080 --> 1:57:28.080]  All right.
[1:57:28.080 --> 1:57:38.080]  All right.
[1:57:38.080 --> 1:57:48.080]  Yes, sir.
[1:57:48.080 --> 1:58:17.080]  Okay, mercenaries, huh?
[1:58:17.080 --> 1:58:23.080]  Yes, sir.
[1:58:23.080 --> 1:58:25.080]  The DPS was very professional,
[1:58:25.080 --> 1:58:27.080]  but they did the classic bait and switch.
[1:58:27.080 --> 1:58:29.080]  They got all the troopers on one side of the building
[1:58:29.080 --> 1:58:41.080]  and made us think that I was coming out there.
[1:58:41.080 --> 1:58:42.080]  I hope we've painted you a picture
[1:58:42.080 --> 1:58:44.080]  of what's really happening here in the nation.
[1:58:44.080 --> 1:58:47.080]  I got out of jail at night with a Class C misdemeanor
[1:58:47.080 --> 1:58:48.080]  and I'm taking it to court
[1:58:48.080 --> 1:58:50.080]  and I'm sure I'll defeat it with a jury trial.
[1:58:50.080 --> 1:58:52.080]  It was a small price to pay, though,
[1:58:52.080 --> 1:58:55.080]  to bring light upon the biometric technologies.
[1:58:55.080 --> 1:58:56.080]  Well, you've seen it all
[1:58:56.080 --> 1:58:58.080]  during this two-hour documentary.
[1:58:58.080 --> 1:59:00.080]  You've seen the UN taking over our parks and the documents.
[1:59:00.080 --> 1:59:02.080]  The Chinese moving into some of our military bases.
[1:59:02.080 --> 1:59:04.080]  Oklahoma City documentation
[1:59:04.080 --> 1:59:06.080]  of huge concentration camp facilities
[1:59:06.080 --> 1:59:09.080]  that have been sprouting up around the country
[1:59:09.080 --> 1:59:11.080]  since the early 80s and even before.
[1:59:11.080 --> 1:59:13.080]  This is America under siege.
[1:59:13.080 --> 1:59:15.080]  I'm not about to tell you what you can do to stop it.
[1:59:15.080 --> 1:59:17.080]  You've got to think for yourselves out there.
[1:59:17.080 --> 1:59:19.080]  You've got to get motivated
[1:59:19.080 --> 1:59:22.080]  and stop reacting and start acting.
[1:59:22.080 --> 1:59:23.080]  I'm Alex Jones.
[1:59:23.080 --> 1:59:24.080]  Thank you for watching.
[1:59:24.080 --> 1:59:26.080]  Now get out there and get motivated.
[1:59:26.080 --> 1:59:44.080]  America is under siege.
[1:59:57.080 --> 2:00:00.080]  In the form of the Soviet Union,
[2:00:00.080 --> 2:00:03.080]  there are pediatrics,
[2:00:03.080 --> 2:00:06.080]  prosperity, starvation,
[2:00:06.080 --> 2:00:09.080]  glory, and coronation.
[2:00:09.080 --> 2:00:13.080]  This is America under siege.
[2:00:13.080 --> 2:00:17.080]  This is America under siege.
[2:00:17.080 --> 2:00:27.080]  This is America under siege.
[2:00:47.080 --> 2:00:57.080]  This is America under siege.
[2:01:17.080 --> 2:01:27.080]  This is America under siege.
[2:01:47.080 --> 2:01:57.080]  This is America under siege.
[2:02:17.080 --> 2:02:27.080]  This is America under siege.
[2:02:47.080 --> 2:03:07.080]  This is America under siege.
[2:03:17.080 --> 2:03:27.080]  This is America under siege.
[2:03:47.080 --> 2:03:57.080]  This is America under siege.
[2:04:17.080 --> 2:04:27.080]  This is America under siege.
[2:04:47.080 --> 2:04:57.080]  This is America under siege.
[2:05:17.080 --> 2:05:27.080]  This is America under siege.
[2:05:47.080 --> 2:05:57.080]  This is America under siege.
[2:06:17.080 --> 2:06:27.080]  This is America under siege.
[2:06:47.080 --> 2:06:57.080]  This is America under siege.
[2:07:17.080 --> 2:07:27.080]  This is America under siege.
